Title,Artist,Spotify_Popularity,Artist_Popularity,year
theme from “a summer place”,Percy Faith,52,52,1960
he’ll have to go,Jim Reeves,-1,60,1960
cathy’s clown,Everly Brothers,-1,62,1960
running bear,Johnny Preston,-1,34,1960
teen angel,Mark Dinning,-1,22,1960
i’m sorry,Brenda Lee,-1,75,1960
it’s now or never,Elvis Presley,-1,81,1960
handy man,Jimmy Jones,-1,43,1960
stuck on you,Elvis Presley,-1,81,1960
the twist,Chubby Checker,-1,55,1960
everybody’s somebody’s fool,Connie Francis,-1,56,1960
wild one,Bobby Rydell,-1,46,1960
greenfields,Brothers Four,45,49,1960
what in the world’s come over you,Jack Scott,-1,32,1960
el paso,Marty Robbins,61,62,1960
alley-oop,Hollywood Argyles,-1,18,1960
my heart has a mind of its own,Connie Francis,-1,56,1960
sweet nothin’s,Brenda Lee,-1,75,1960
itsy bitsy teenie weenie yellow polkadot bikini,Brian Hyland,-1,49,1960
only the lonely,Roy Orbison,-1,68,1960
where or when,Dion and The Belmonts,29,53,1960
sixteen reasons,Connie Stevens,-1,24,1960
puppy love,Paul Anka,-1,64,1960
why,Frankie Avalon,8,45,1960
"walk, dont run",Ventures,41,50,1960
save the last dance for me,Drifters,-1,64,1960
baby (you got what it takes),Brook Benton and Dinah Washington,-1,11,1960
sink the bismark,Johnny Horton,46,51,1960
chain gang,Sam Cooke,32,70,1960
let it be me,Everly Brothers,8,62,1960
good timin’,Jimmy Jones,-1,43,1960
beyond the sea,Bobby Darin,59,62,1960
go jimmy go,Jimmy Clanton,-1,27,1960
night,Jackie Wilson,3,62,1960
burning bridges,Jack Scott,-1,32,1960
the big hurt,Toni Fisher,-1,12,1960
because they’re young,Duane Eddy,-1,44,1960
lonely blue boy,Conway Twitty,-1,60,1960
pretty blue eyes,Steve Lawrence,-1,36,1960
way down yonder in new orleans,Freddie Cannon,-1,-1,1960
paper roses,Anita Bryant,-1,19,1960
mr. custer,Larry Verne,-1,13,1960
i want to be wanted,Brenda Lee,28,75,1960
mule skinner blues,Fendermen,27,19,1960
cradle of love,Johnny Preston,-1,34,1960
you’ve got what it takes,Marv Johnson,-1,28,1960
"please help me, i’m falling",Hank Locklin,-1,48,1960
love you so,Ron Holden,-1,13,1960
finger poppin’ time,Hank Ballard and The Midnighters,-1,28,1960
harbor lights,Platters,36,66,1960
let the little girl dance,Billy Bland,-1,13,1960
he’ll have to stay,Jeanne Black,-1,10,1960
theme from the apartment,Ferrante and Teicher,-1,41,1960
volare (nel blu dipinto di blu),Bobby Rydell,-1,46,1960
a million to one,Jimmy Charles,-1,14,1960
the village of st. bernadette,Andy Williams,-1,76,1960
the old lamplighter,The Browns,-1,30,1960
white silver sands,Bill Black’s Combo,-1,6,1960
devil or angel,Bobby Vee,27,53,1960
down by the station,Four Preps,-1,33,1960
forever,Little Dippers,-1,13,1960
image of a girl,Safaris and The Phantom’s Band,-1,-1,1960
kiddio,Brook Benton,-1,48,1960
mission bell,Donnie Brooks,-1,11,1960
i love the way you love,Marv Johnson,-1,28,1960
it’s time to cry,Paul Anka,-1,64,1960
tell laura i love her,Ray Peterson,-1,39,1960
mama,Connie Francis,21,56,1960
footsteps,Steve Lawrence,-1,36,1960
so sad,Everly Brothers,23,62,1960
that’s all you gotta do,Brenda Lee,-1,75,1960
walking to new orleans,Fats Domino,37,57,1960
among my souvenirs,Connie Francis,-1,56,1960
swingin’ school,Bobby Rydell,-1,46,1960
a rockin’ good way,Dinah Washington and Brook Benton,-1,7,1960
stairway to heaven,Neil Sedaka,-1,58,1960
my home town,Paul Anka,-1,64,1960
georgia on my mind,Ray Charles,-1,69,1960
cherry pie,Skip and Flip,-1,12,1960
wonderful world,Sam Cooke,65,70,1960
tracy’s theme,Spencer Ross,-1,0,1960
lady luck,Lloyd Price,-1,48,1960
step by step,Crests,-1,42,1960
happy-go-lucky me,Paul Evans,-1,31,1960
young emotions,Ricky Nelson,-1,56,1960
dreamin’,Johnny Burnette,38,44,1960
poetry in motion,Johnny Tillotson,1,48,1960
o dio mio,Annette,8,50,1960
you talk too much,Joe Jones,-1,44,1960
beatnik fly,Johnny and The Hurricanes,-1,34,1960
when will i be loved,Everly Brothers,11,62,1960
let’s think about livin’,Bob Luman,-1,31,1960
heartaches by the number,Guy Mitchell,-1,43,1960
in my little corner of the world,Anita Bryant,-1,19,1960
doggin’ around,Jackie Wilson,17,62,1960
little bitty girl,Bobby Rydell,-1,46,1960
money,Barret Strong,-1,-1,1960
stay,Maurice Williams,-1,46,1960
lonely weekends,Charlie Rich,0,50,1960
sandy,Larry Hall,-1,27,1960
tossin’ and turnin’,Bobby Lewis,-1,28,1961
i fall to pieces,Patsy Cline,48,59,1961
michael,Highwaymen,5,56,1961
cryin’,Roy Orbison,-1,68,1961
runaway,Del Shannon,57,51,1961
my true story,Jive Five,-1,29,1961
pony time,Chubby Checker,23,55,1961
wheels,String-a-longs,-1,22,1961
raindrops,Dee Clark,8,22,1961
wooden heart (muss i denn),Joe Dowell,-1,11,1961
calcutta,Lawrence Welk,-1,44,1961
take good care of my baby,Bobby Vee,-1,53,1961
running scared,Roy Orbison,-1,68,1961
dedicated to the one i love,The Shirelles,-1,55,1961
last night,Mar-keys,35,33,1961
(will you love me) tomorrow,Shirelles,-1,55,1961
exodus,Ferrante and Teicher,-1,41,1961
where the boys are,Connie Francis,-1,56,1961
hit the road jack,Ray Charles,-1,69,1961
sad movies (make me cry),Sue Thompson,21,35,1961
mother-in-law,Ernie K-Doe,-1,32,1961
bristol stomp,Dovells,-1,28,1961
travelin’ man,Ricky Nelson,-1,56,1961
shop around,Miracles,53,62,1961
the boll weevil song,Brook Benton,-1,48,1961
a hundred pounds of clay,Gene Mcdaniels,26,25,1961
the mountain’s high,Dick and Deedee,-1,-1,1961
don’t worry,Marty Robbins,-1,62,1961
on the rebound,Floyd Cramer,27,40,1961
portrait op my love,Steve Lawrence,-1,36,1961
quarter to three,Gary,-1,64,1961
"who put the bomp (in the bomp, bomp, bomp)",Barry Mann,-1,33,1961
calendar girl,Neil Sedaka,-1,58,1961
i like it like that,Chris Kenner,3,24,1961
apache,Jørgen Ingmann,1,23,1961
don’t bet money honey,Linda Scott,-1,26,1961
without you,Johnny Tillotson,-1,48,1961
wings of a dove,Ferlin Husky,-1,39,1961
little sister,Elvis Presley,-1,81,1961
blue moon,Marcels,30,43,1961
daddy’s home,Shep and The Limelites,-1,28,1961
this time,Troy Shondell,-1,11,1961
i don’t know why but i do,Clarence “Frog Man” Henry,-1,-1,1961
asia minor,Kokomo,-1,31,1961
hello walls,Faron Young,-1,47,1961
runaround sue,Dion,62,78,1961
yellow bird,Arthur Lyman,38,36,1961
hurt,Timi Yuro,-1,40,1961
hello mary lou,Ricky Nelson,-1,56,1961
there’s a moon out tonight,Capris,-1,32,1961
surrender,Elvis Presley,-1,81,1961
i love how you love me,Paris Sisters,-1,29,1961
ya ya,Lee Dorsey,6,51,1961
school is out,Gary,-1,64,1961
mexico,Bob Moore,-1,9,1961
you don’t know what you’ve got (until you lose it),Ral Donner,-1,16,1961
walk right back,Everly Brothers,3,62,1961
the way you look tonight,Lettermen,-1,43,1961
moody river,Pat Boone,-1,46,1961
one mint julep,Ray Charles,-1,69,1961
take good care of her,Adam Wade,-1,14,1961
gee whiz (look at his eyes),Carla Thomas,30,54,1961
stand by me,Ben E. King,-1,67,1961
spanish harlem,Ben E. King,50,67,1961
it’s gonna work out fine,Ike and Tina Turner,-1,57,1961
baby blue,Echoes,-1,43,1961
baby sittin’ boogie,Buzz Clifford,-1,13,1961
hats off to larry,Del Shannon,-1,51,1961
those oldies but goodies,Caesar and The Romans,-1,14,1961
the fly,Chubby Checker,-1,55,1961
(marie’s the name) his latest flame,Elvis Presley,-1,81,1961
wonderland by night,Bert Kaempfert and His Orch.,-1,-1,1961
bless you,Tony Orlando,11,45,1961
i’ve told every little star,Linda Scott,-1,26,1961
one track mind,Bobby Lewis,-1,28,1961
angel baby,Rosie and The Originals,-1,45,1961
pretty little angel eyes,Curtis Lee,-1,29,1961
think twice,Brook Benton,-1,48,1961
does your chewing gum lose its flavor (on the bedpost overnight),Lonnie Donegan,-1,34,1961
breakin’ in a brand new broken heart,Connie Francis,-1,56,1961
mama said,Shirelles,-1,55,1961
let the four winds blow,Fats Domino,-1,57,1961
the writing on the wall,Adam Wade,-1,14,1961
my kind of girl,Matt Monroe,-1,-1,1961
"tonight my love, tonight",Paul Anka,-1,64,1961
big bad john,Jimmy Dean,53,43,1961
good time baby,Bobby Rydell,-1,46,1961
san antonio rose,Floyd Cramer,22,40,1961
rubber ball,Bobby Vee,40,53,1961
missing you,Ray Peterson,-1,39,1961
dum dum,Brenda Lee,23,75,1961
i’m gonna knock on your door,Eddie Hodges,-1,28,1961
you can depend on me,Brenda Lee,-1,75,1961
let’s twist again,Chubby Checker,-1,55,1961
take five,Dave Brubeck,65,60,1961
are you lonesome tonight,Elvis Presley,-1,81,1961
sea of heartbreak,Don Gibson,-1,46,1961
more money for you and me medley,Four Preps,-1,33,1961
you must have been a beautiful baby,Bobby Darin,-1,62,1961
please stay,Drifters,-1,64,1961
stranger on the shore,Mr. Acker Bilk,-1,14,1962
i can’t stop loving you,Ray Charles,-1,69,1962
mashed potato time,Dee Dee Sharp,40,35,1962
roses are red,Bobby Vinton,53,59,1962
the stripper,David Rose,-1,30,1962
johnny angel,Shelley Fabares,28,29,1962
the loco-motion,Little Eva,-1,47,1962
let me in,Sensations,-1,24,1962
the twist,Chubby Checker,47,55,1962
soldier boy,Shirelles,-1,55,1962
hey! baby,Bruce Channel,10,45,1962
the wanderer,Dion,50,78,1962
duke of earl,Gene Chandler,53,45,1962
palisades park,Freddy Cannon,-1,33,1962
breaking up is hard to do,Neil Sedaka,48,58,1962
wolverton mountain,Claude King,37,39,1962
slow twistin’,Chubby Checker,31,55,1962
it keeps right on a-hurtin’,Johnny Tillotson,31,48,1962
the one who really loves you,Mary Wells,44,57,1962
good luck charm,Elvis Presley,-1,81,1962
midnight in moscow,Kenny Ball,-1,35,1962
sheila,Tommy Roe,32,42,1962
twistin’ the night away,Sam Cooke,59,70,1962
wah-watusi,Orlons,32,29,1962
peppermint twist,Joey Dee and The Starlighters,-1,-1,1962
break it to me gently,Brenda Lee,-1,75,1962
playboy,Marvelettes,41,58,1962
ramblin’ rose,Nat King Cole,41,78,1962
sealed with a kiss,Brian Hyland,-1,49,1962
she cried,Jay and The Americans,20,55,1962
don’t break the heart that loves you,Connie Francis,-1,56,1962
dear lady twist,Gary U.S. Bonds,-1,32,1962
norman,Sue Thompson,19,35,1962
love letters,Ketty Lester,-1,28,1962
party lights,Claudine Clark,-1,15,1962
cotton fields,Highwaymen,-1,56,1962
alley cat,Bent Fabric,-1,15,1962
twist and shout,The Isley Brothers,53,66,1962
theme from dr. kildare,Richard Chamberlain,4,14,1962
tuff,Ace Cannon,-1,25,1962
"lover, please",Clyde Mcphatter,-1,54,1962
i know,Barbara George,-1,15,1962
young world,Rick Nelson,-1,0,1962
baby it’s you,Shirelles,-1,55,1962
speedy gonzales,Pat Boone,39,46,1962
a little bitty tear,Burl Ives,-1,73,1962
crying in the rain,Everly Brothers,52,62,1962
al di la’,Emillo Pericoli,-1,-1,1962
shout! shout! (knock yourself out),Ernie Maresca,31,19,1962
what’s your name,Don and Juan,-1,25,1962
smoky places,Corsairs,-1,5,1962
having a party,Sam Cooke,32,70,1962
green onions,Booker T and The MG’s,-1,-1,1962
you don’t know me,Ray Charles,-1,69,1962
sherry,Four Seasons,56,65,1962
johnny get angry,Joanie Sommers,29,25,1962
can’t help falling in love,Elvis Presley,-1,81,1962
shout,Joey Dee,0,33,1962
rinky dink,Dave “Baby” Cortez,16,26,1962
moon river,Henry Mancini,53,56,1962
ahab the arab,Ray Stevens,-1,41,1962
things,Bobby Darin,27,62,1962
the man who shot liberty valance,Gene Pitney,-1,47,1962
you belong to me,Duprees,-1,34,1962
dream baby,Roy Orbison,-1,68,1962
snap your fingers,Joe Henderson,1,46,1962
lovers who wander,Dion,38,78,1962
let’s dance,Chris Montez,-1,46,1962
cindy’s birthday,Johnny Crawford,-1,23,1962
you beat me to the punch,Mary Wells,50,57,1962
you’ll lose a good thing,Barbara Lynn,-1,41,1962
uptown,Crystals,-1,58,1962
everybody loves me but you,Brenda Lee,-1,75,1962
patches,Dickie Lee,-1,0,1962
venus in blue jeans,Jimmy Clanton,-1,27,1962
love me warm and tender,Paul Anka,-1,64,1962
teen age idol,Rick Nelson,-1,0,1962
she’s got you,Patsy Cline,-1,59,1962
dear one,Larry Finnegan,-1,18,1962
her royal majesty,James Darren,-1,29,1962
old rivers,Walter Brennan,11,19,1962
funny way of laughin’,Burl Ives,-1,73,1962
a swingin’ safari,Billy Vaughn,-1,48,1962
tell me,Dick and Deedee,-1,-1,1962
p.t. 109,Jimmy Dean,26,43,1962
little diane,Dion,11,78,1962
percolator (twist),Billy Joe and The Checkmates,-1,5,1962
"twist, twist senora",Gary U.S. Bonds,-1,32,1962
twistin’ matilda,Jimmy Soul,-1,34,1962
gravy,Dee Dee Sharp,27,35,1962
walk on the wild side,Jimmy Smith,-1,49,1962
soul twist,King Curtis,2,42,1962
i’ll never dance again,Bobby Rydell,-1,46,1962
i’m blue,Ikettes,-1,29,1962
where have all the flowers gone,Kingston Trio,2,42,1962
"(girls, girls, girls) were made to love",Eddie Hodges,-1,28,1962
town without pity,Gene Pitney,-1,47,1962
if i had a hammer,"Peter, Paul and Mary",29,55,1962
i wish that we were married,Ronnie and The Hi-lites,-1,3,1962
surfin’ safari,Beach Boys,47,75,1962
sugar shack,Jimmy Gilmer and The Fireballs,-1,31,1963
surfin’ u.s.a.,Beach Boys,68,75,1963
the end of the world,Skeeter Davis,17,48,1963
rhythm of the rain,Cascades,58,50,1963
he’s so fine,Chiffons,-1,49,1963
blue velvet,Bobby Vinton,62,59,1963
hey paula,Paul and Paula,-1,33,1963
fingertips ii,Little Stevie Wonder,-1,-1,1963
washington square,Village Stompers,22,23,1963
it’s all right,Impressions,-1,53,1963
can’t get used to losing you,Andy Williams,-1,76,1963
my boyfriend’s back,Angels,-1,59,1963
sukiyaki,Kyu Sakamoto,-1,39,1963
she’s a fool,Lesley Gore,-1,53,1963
so much in love,Tymes,38,35,1963
puff (the magic dragon),"Peter, Paul and Mary",47,55,1963
blowin’ in the wind,"Peter, Paul and Mary",44,55,1963
i’m leaving it up to you,Dale and Grace,-1,24,1963
deep purple,Nino Tempo and April Stevens,-1,25,1963
wipe out,The Surfaris,43,41,1963
i love you because,Al Martino,23,47,1963
wild weekend,Rebels,-1,34,1963
you’re the reason i’m living,Bobby Darin,-1,62,1963
walk like a man,Four Seasons,57,65,1963
mockingbird,Inez Foxx,-1,19,1963
i will follow him,Little Peggy March,47,36,1963
pipeline,Chantays,38,32,1963
surf city,Jan and Dean,-1,43,1963
it’s my party,Lesley Gore,-1,53,1963
blame it on the bossa nova,Eydie Gorme,29,56,1963
you can’t sit down,Dovells,-1,28,1963
heat wave,Martha and The Vandellas,61,61,1963
denise,Randy and The Rainbows,-1,30,1963
walk right in,Rooftop Singers,-1,28,1963
if you wanna be happy,Jimmy Soul,-1,34,1963
surfer girl,Beach Boys,49,75,1963
if i had a hammer,Trini Lopez,33,41,1963
everybody,Tommy Roe,12,42,1963
easier said than done,Essex,-1,46,1963
ruby baby,Dion,42,78,1963
maria elena,Los Indios Tabajaras,4,44,1963
our day will come,Ruby and The Romantics,37,26,1963
i can’t stay mad at you,Skeeter Davis,-1,48,1963
"hello, stranger",Barbara Lewis,48,42,1963
be my baby,Ronettes,-1,70,1963
mean woman blues,Roy Orbison,-1,68,1963
south street,Orlons,16,29,1963
days of wine and roses,Henry Mancini,11,56,1963
the monkey time,Major Lance,-1,51,1963
candy girl,Four Seasons,26,65,1963
still,Bill Anderson,-1,39,1963
blue on blue,Bobby Vinton,39,59,1963
cry baby,Garnet Mimms and The Enchanters,-1,26,1963
two faces have i,Lou Christie,30,35,1963
busted,Ray Charles,-1,69,1963
da doo ron ron,Crystals,-1,58,1963
foolish little girl,Shirelles,-1,55,1963
memphis,Lonnie Mack,-1,35,1963
in dreams,Roy Orbison,55,68,1963
more,Kal Winding,-1,-1,1963
fools rush in,Rick Nelson,-1,0,1963
losing you,Brenda Lee,31,75,1963
our winter love,Bill Pursell,15,13,1963
i wanna be around,Tony Bennett,34,74,1963
you’ve really got a hold on me,Miracles,-1,62,1963
sally go ‘round the roses,Jaynetts,-1,21,1963
little red rooster,Sam Cooke,37,70,1963
then he kissed me,Crystals,-1,58,1963
(you’re the) devil in disguise,Elvis Presley,-1,81,1963
those lazy hazy crazy days of summer,Nat King Cole,-1,78,1963
baby workout,Jackie Wilson,22,62,1963
pride and joy,Marvin Gaye,29,76,1963
walking the dog,Rufus Thomas,32,44,1963
from a jack to a king,Ned Miller,-1,28,1963
up on the roof,Drifters,-1,64,1963
what will my mary say,Johnny Mathis,-1,67,1963
mama didn’t lie,Jan Bradley,-1,14,1963
the night has a thousand eyes,Bobby Vee,37,53,1963
don’t say nothin’ bad about my baby,The Cookies,-1,24,1963
ring of fire,Johnny Cash,68,78,1963
just one look,Doris Troy,-1,35,1963
"hello muddah, hello fadduh! (a letter from camp)",Allan Sherman,-1,33,1963
judy’s turn to cry,Lesley Gore,-1,53,1963
"tie me kangaroo down, sport",Roll Harris,-1,-1,1963
mickey’s monkey,Miracles,-1,62,1963
"donna, the prima donna",Dion,39,78,1963
"that sunday, that summer",Nat King Cole,-1,78,1963
another saturday night,Sam Cooke,38,70,1963
"painted, tainted rose",Al Martino,-1,47,1963
(down at) papa joe’s,Dixiebelles With Cornbread and Jerry,-1,-1,1963
go away little girl,Steve Lawrence,4,36,1963
take these chains from my heart,Ray Charles,-1,69,1963
talk to me,Sunny and The Sunglows,-1,18,1963
come and get these memories,Martha and The Vandellas,29,61,1963
bossa nova baby,Elvis Presley,38,81,1963
do the bird,Dee Dee Sharp,17,35,1963
shut down,Beach Boys,25,75,1963
one fine day,Chiffons,-1,49,1963
500 miles away from home,Bobby Bare,37,50,1963
little town flirt,Del Shannon,27,51,1963
i want to hold your hand,Beatles,-1,88,1964
she loves you,Beatles,-1,88,1964
"hello, dolly!",Louis Armstrong,48,73,1964
"oh, pretty woman",Roy Orbison,69,68,1964
i get around,Beach Boys,64,75,1964
everybody loves somebody,Dean Martin,60,78,1964
my guy,Mary Wells,64,57,1964
we’ll sing in the sunshine,Gale Garnett,-1,22,1964
last kiss,J. Frank Wilson and The Cavaliers,-1,27,1964
where did our love go,Supremes,62,68,1964
people,Barbara Streissand,-1,-1,1964
java,Al Hirt,20,39,1964
a hard day’s night,Beatles,-1,88,1964
love me do,Beatles,67,88,1964
do wah diddy diddy,Manfred Mann,63,56,1964
please please me,Beatles,59,88,1964
dancing in the street,Martha and The Vandellas,-1,61,1964
little children,Billy J. Kramer and The Dakotas,-1,6,1964
love me with all your heart,Ray Charles Singers,20,43,1964
under the boardwalk,Drifters,66,64,1964
chapel of love,Dixie Cups,48,48,1964
suspicion,Terry Stafford,-1,28,1964
glad all over,Dave Clark Five,-1,29,1964
rag doll,Four Seasons,-1,65,1964
dawn (go away),Four Seasons,-1,65,1964
bread and butter,Newbeats,-1,28,1964
it hurts to be in love,Gene Pitney,-1,47,1964
dead man’s curve,Jan and Dean,-1,43,1964
come a little bit closer,Jay and The Americans,68,55,1964
a world without love,Peter and Gordon,-1,40,1964
have i the right?,Honeycombs,-1,31,1964
don’t let the rain come down (crooked little man),Serendipity Singers,-1,11,1964
baby love,Supremes,67,68,1964
let it be me,Betty Everett and Jerry Butler,-1,-1,1964
wishin’ and hopin’,Dusty Springfield,40,64,1964
you don’t own me,Lesley Gore,-1,53,1964
walk on by,Dionne Warwick,60,63,1964
the house of the rising sun,Animals,-1,74,1964
g.t.o.,Ronny and The Daytona,-1,-1,1964
twist and shout,Beatles,74,88,1964
memphis,Johnny Rivers,-1,46,1964
white on white,Danny Williams,-1,25,1964
hey little cobra,Rip Chords,27,20,1964
the shoop shoop song (it’s in his kiss),Betty Everett,-1,42,1964
bits and pieces,Dave Clark Five,-1,29,1964
my boy lollipop,Millie Small,-1,37,1964
"um, um, um, um, um, um",Major Lance,-1,51,1964
the little old lady,Jan and Dean,40,43,1964
don’t let the sun catch you crying,Gerry and The Pacemakers,-1,51,1964
a summer song,Chad and Jeremy,-1,39,1964
the girl from ipanema,Stan Getz and Astrud Gilberto,-1,-1,1964
can’t buy me love,Beatles,-1,88,1964
remember (walkin’ in the sand),Shangri-Las,-1,45,1964
c’mon and swim,Bobby Freeman,-1,32,1964
do you want to know a secret,Beatles,59,88,1964
keep on pushing,Impressions,38,53,1964
baby i need your loving,Four Tops,-1,66,1964
navy blue,Diane Renay,-1,16,1964
diane,Bachelors,-1,36,1964
out of limits,Marketts,49,37,1964
little honda,Hondells,-1,14,1964
see the funny little clown,Bobby Goldsboro,-1,47,1964
because,Dave Clark Five,-1,29,1964
(just like) romeo and juliet,Reflections,-1,34,1964
for you,Rick Nelson,-1,0,1964
today,New Christy Minstrels,27,34,1964
can’t you see that she’s mine,Dave Clark Five,-1,29,1964
leader of the pack,Shangri-Las,-1,45,1964
funny,Joe Hinton,-1,8,1964
the way you do the things you do,Temptations,63,71,1964
anyone who had a heart,Dionne Warwick,39,63,1964
i love you more and more every day,Al Martino,-1,47,1964
it’s over,Roy Orbison,-1,68,1964
ronnie,Four Seasons,-1,65,1964
surfin’ bird,Trashmen,5,43,1964
what kind of fool (do you think i am),Tams,-1,33,1964
the door is still open to my heart,Dean Martin,27,78,1964
you really got me,Kinks,70,70,1964
the shelter of your arms,Sammy Davis Jr.,14,55,1964
i’m so proud,Impressions,-1,53,1964
i wanna love him so bad,Jelly Beans,-1,26,1964
chug-a-lug,Roger Miller,-1,54,1964
dang me,Roger Miller,-1,54,1964
cotton candy,Al Hirt,20,39,1964
(you don’t know) how glad i am,Nancy Wilson,-1,56,1964
money,Kingsmen,-1,53,1964
don’t throw your love away,Searchers,-1,50,1964
hi-heel sneakers,Tommy Tucker,-1,22,1964
how do you do it!,Gerry and The Pacemakers,-1,51,1964
walk don’t run,The Ventures,-1,50,1964
do you love me,Dave Clark Five,-1,29,1964
shangri-la,"Robert Maxwell, His Harp and Orch.",-1,-1,1964
haunted houses,Gene Simmons,-1,32,1964
steal away,Jimmy Hughes,-1,26,1964
i saw her standing there,Beatles,67,88,1964
a fool never learns,Andy Williams,10,76,1964
bad to me,Billy J. Kramer and The Dakotas,-1,6,1964
there! i’ve said it again,Bobby Vinton,-1,59,1964
louie louie,The Kingsmen,-1,53,1964
needles and pins,Searchers,57,50,1964
wooly bully,Sam The Sham and The Pharaohs,-1,45,1965
i can’t help myself (sugar pie honey bunch),Four Tops,-1,66,1965
(i can’t get no) satisfaction,Rolling Stones,-1,81,1965
you were on my mind,We Five,-1,25,1965
you’ve lost that lovin’ feelin’,Righteous Brothers,-1,62,1965
downtown,Petula Clark,-1,50,1965
help!,Beatles,69,88,1965
can’t you hear my heartbeat,Herman’s Hermits,-1,2,1965
crying in the chapel,Elvis Presley,-1,81,1965
my girl,Temptations,78,71,1965
"help me, rhonda",Beach Boys,49,75,1965
king of the road,Roger Miller,37,54,1965
the birds and the bees,Jewel Aikens,-1,-1,1965
"hold me, thrill me, kiss me",Mel Carter,-1,33,1965
shotgun,Jr. Walker and The All Stars,60,58,1965
i got you babe,Sonny and Cher,54,55,1965
this diamond ring,Gary Lewis and The Playboys,36,43,1965
the “in” crowd,Ramsey Lewis Trio,45,43,1965
mrs. brown you’ve got a lovely daughter,Herman’s Hermits,-1,2,1965
stop! in the name of love,Supremes,63,68,1965
unchained melody,Righteous Brothers,64,62,1965
silhouettes,Herman’s Hermits,-1,2,1965
i’ll never find another you,Seekers,-1,50,1965
"cara, mia",Jay and The Americans,42,55,1965
mr. tambourine man,Byrds,60,61,1965
cast your fate to the wind,Sounds Orchestral,25,17,1965
"yes, i’m ready",Barbara Mason,-1,44,1965
what’s new pussycat?,Tom Jones,-1,63,1965
eve of destruction,Barry McGuire,-1,43,1965
hang on sloopy,McCoys,20,43,1965
ticket to ride,Beatles,64,88,1965
red roses for a blue lady,Bert Kaempfert and His Orch.,-1,-1,1965
papa’s got a brand new bag,James Brown and The Famous Flames,-1,59,1965
game of love,Wayne Fontana and The Mindbenders,39,32,1965
the name game,Shirley Ellis,-1,40,1965
i know a place,Petula Clark,-1,50,1965
back in my arms again,Supremes,48,68,1965
baby i’m yours,Barbara Lewis,-1,42,1965
the jolly green giant,Kingsmen,-1,53,1965
"hush, hush, sweet charlotte",Patti Page,29,47,1965
like a rolling stone,Bob Dylan,70,76,1965
i’m telling you now,Freddie and The Dreamers,-1,34,1965
ferry cross the mersey,Gerry and The Pacemakers,-1,51,1965
just once in my life,Righteous Brothers,27,62,1965
seventh son,Johnny Rivers,9,46,1965
"i’m henry viii, i am",Herman’s Hermits,-1,2,1965
a walk in the black forest,Horst Jankowski,34,34,1965
for your love,Yardbirds,-1,57,1965
california girls,Beach Boys,56,75,1965
go now,Moody Blues,44,62,1965
goldfinger,Shirley Bassey,-1,53,1965
down in the boondocks,Billy Joe Royal,42,35,1965
baby the rain must fall,Glenn Yarbrough,23,30,1965
catch us if you can,Dave Clark Five,-1,29,1965
eight days a week,Beatles,63,88,1965
just a little,Beau Brummels,29,33,1965
you turn me on,Ian Whitcomb,-1,15,1965
i’ll be doggone,Marvin Gaye,-1,76,1965
save your heart for me,Gary Lewis and The Playboys,26,43,1965
tired of waiting for you,Kinks,44,70,1965
count me in,Gary Lewis and The Playboys,22,43,1965
all day and all of the night,Kinks,67,70,1965
what the world needs now is love,Jackie DeShannon,48,43,1965
it’s not unusual,Tom Jones,-1,63,1965
she’s about a mover,Sir Douglas Quintet,-1,35,1965
shake,Sam Cooke,28,70,1965
wonderful world,Herman’s Hermits,-1,2,1965
nowhere to run,Martha and The Vandellas,4,61,1965
heart full of soul,Yardbirds,-1,57,1965
love potion number nine,Searchers,45,50,1965
laurie (strange things happen),Dickle Lee,-1,-1,1965
baby don’t go,Sonny and Cher,-1,55,1965
it ain’t me babe,Turtles,-1,61,1965
tell her no,Zombies,-1,69,1965
i go to pieces,Peter and Gordon,-1,40,1965
red roses for a blue lady,Vic Dana,-1,23,1965
don’t just stand there,Patty Duke,-1,13,1965
the tracks of my tears,Miracles,63,62,1965
too many rivers,Brenda Lee,-1,75,1965
i like it like that,Dave Clark Five,-1,29,1965
little things,Bobby Goldsboro,-1,47,1965
true love ways,Peter and Gordon,-1,40,1965
it’s the same old song,Four Tops,-1,66,1965
you’ve got your troubles,Fortunes,-1,42,1965
hold what you’ve got,Joe Tex,-1,40,1965
we gotta get out of this place,Animals,49,74,1965
"laugh, laugh",Beau Brummels,35,33,1965
the last time,Rolling Stones,50,81,1965
do you believe in magic,Lovin’ Spoonful,64,57,1965
all i really want to do,Cher,31,73,1965
take me back,Little Anthony and The Imperials,15,45,1965
i want candy,Strangeloves,42,31,1965
ooo baby baby,Miracles,56,62,1965
laugh at me,Sonny,-1,60,1965
treat her right,Roy Head,-1,15,1965
the race is on,Jack Jones,8,45,1965
i’m a fool,"Dino, Desi and Billy",-1,9,1965
the boy from new york city,Ad Libs,-1,25,1965
keep searchin’,Del Shannon,24,51,1965
how sweet it is (to be loved by you),Marvin Gaye,54,76,1965
the ballad of the green berets,Sgt. Barry Sadler,41,31,1966
cherish,Association,36,47,1966
(you’re my) soul and inspiration,Righteous Brothers,-1,62,1966
reach out i’ll be there,Four Tops,-1,66,1966
96 tears,? and The Mysterians,53,41,1966
last train to clarksville,Monkees,46,64,1966
"monday, monday",Mama’s and The Papa’s,-1,-1,1966
you can’t hurry love,Supremes,-1,68,1966
poor side of town,Johnny Rivers,-1,46,1966
